date,home_team,away_team,winner
2021/7/6,Guatemala,Guadeloupe,Guadeloupe
2021/7/11,England,Italy,Italy
2021/7/16,Senegal,Eswatini,Senegal
2021/7/18,Eswatini,Mozambique,Eswatini
2021/7/18,South Africa,Senegal,South Africa
2021/11/19,Sri Lanka,Seychelles,Seychelles
2021/12/11,Morocco,Algeria,Algeria
2021/12/18,Qatar,Egypt,Qatar
2022/1/23,Burkina Faso,Gabon,Burkina Faso
2022/1/26,Ivory Coast,Egypt,Egypt
2022/1/26,Mali,Equatorial Guinea,Equatorial Guinea
2022/2/3,Cameroon,Egypt,Egypt
2022/2/5,Cameroon,Burkina Faso,Cameroon
2022/2/6,Senegal,Egypt,Senegal
2022/3/25,Tajikistan,Uganda,Uganda
2022/3/29,Kazakhstan,Moldova,Kazakhstan
2022/3/29,Senegal,Egypt,Senegal
2022/6/13,Australia,Peru,Australia
2022/6/14,Chile,Ghana,Ghana
2022/9/22,Thailand,Malaysia,Malaysia
2022/9/23,Iraq,Oman,Oman
2022/9/25,Malaysia,Tajikistan,Tajikistan
2022/11/16,Lithuania,Iceland,Iceland
2022/11/16,Latvia,Estonia,Latvia
2022/11/19,Latvia,Iceland,Iceland
